Ano,Mês,Valor,Estado
2022,Setembro,12.0,Alagoas
2022,Outubro,17.0,Alagoas
2022,Novembro,10.0,Alagoas
2022,Dezembro,22.0,Alagoas
2023,Janeiro,22.0,Alagoas
2023,Fevereiro,15.0,Alagoas
2023,Março,26.0,Alagoas
2023,Abril,29.0,Alagoas
2023,Maio,4.0,Alagoas
2023,Junho,1.0,Alagoas
2023,Julho,6.0,Alagoas
2023,Agosto,8.0,Alagoas
2023,Setembro,10.0,Alagoas
2023,Outubro,30.0,Alagoas
2023,Novembro,38.0,Alagoas
2023,Dezembro,38.0,Alagoas
2024,Janeiro,41.0,Alagoas
2024,Fevereiro,28.0,Alagoas
2024,Março,40.0,Alagoas
2024,Abril,10.0,Alagoas
2024,Maio,1.0,Alagoas
2024,Junho,,Alagoas
2024,Julho,1.0,Alagoas
2024,Agosto,9.0,Alagoas
2024,Setembro,15.0,Alagoas
2024,Outubro,28.0,Alagoas
2024,Novembro,47.0,Alagoas
2024,Dezembro,65.0,Alagoas
2025,Janeiro,28.0,Alagoas
2025,Fevereiro,22.0,Alagoas
2025,Março,22.0,Alagoas
2025,Abril,25.0,Alagoas
2025,Maio,19.0,Alagoas
2025,Junho,,Alagoas
2025,Julho,,Alagoas
2025,Agosto,,Alagoas
2025,Setembro,,Alagoas
2025,Outubro,,Alagoas
2025,Novembro,,Alagoas
2025,Dezembro,,Alagoas
1998,Janeiro,,Amapá
1998,Fevereiro,,Amapá
1998,Março,,Amapá
1998,Abril,,Amapá
1998,Maio,,Amapá
1998,Junho,,Amapá
1998,Julho,,Amapá
1998,Agosto,1.0,Amapá
1998,Setembro,20.0,Amapá
1998,Outubro,41.0,Amapá
1998,Novembro,131.0,Amapá
1998,Dezembro,84.0,Amapá
1999,Janeiro,,Amapá
1999,Fevereiro,1.0,Amapá
1999,Março,2.0,Amapá
1999,Abril,,Amapá
1999,Maio,,Amapá
1999,Junho,2.0,Amapá
1999,Julho,,Amapá
1999,Agosto,,Amapá
1999,Setembro,4.0,Amapá
1999,Outubro,25.0,Amapá
1999,Novembro,26.0,Amapá
1999,Dezembro,41.0,Amapá
2000,Janeiro,2.0,Amapá
2000,Fevereiro,,Amapá
2000,Março,,Amapá
2000,Abril,,Amapá
2000,Maio,,Amapá
2000,Junho,,Amapá
2000,Julho,,Amapá
2000,Agosto,3.0,Amapá
2000,Setembro,19.0,Amapá
2000,Outubro,42.0,Amapá
2000,Novembro,157.0,Amapá
2000,Dezembro,30.0,Amapá
2001,Janeiro,,Amapá
2001,Fevereiro,,Amapá
2001,Março,,Amapá
2001,Abril,,Amapá
2001,Maio,,Amapá
2001,Junho,,Amapá
2001,Julho,1.0,Amapá
2001,Agosto,12.0,Amapá
2001,Setembro,95.0,Amapá
2001,Outubro,193.0,Amapá
2001,Novembro,406.0,Amapá
2001,Dezembro,593.0,Amapá
2002,Janeiro,7.0,Amapá
2002,Fevereiro,2.0,Amapá
2002,Março,,Amapá
2002,Abril,,Amapá
2002,Maio,3.0,Amapá
2002,Junho,,Amapá
2002,Julho,2.0,Amapá
2002,Agosto,21.0,Amapá
2002,Setembro,152.0,Amapá
2002,Outubro,710.0,Amapá
2002,Novembro,1473.0,Amapá
2002,Dezembro,294.0,Amapá
2003,Janeiro,35.0,Amapá
2003,Fevereiro,,Amapá
2003,Março,5.0,Amapá
2003,Abril,3.0,Amapá
2003,Maio,1.0,Amapá
2003,Junho,3.0,Amapá
2003,Julho,1.0,Amapá
2003,Agosto,21.0,Amapá
2003,Setembro,135.0,Amapá
2003,Outubro,526.0,Amapá
2003,Novembro,1117.0,Amapá
2003,Dezembro,669.0,Amapá
2004,Janeiro,58.0,Amapá
2004,Fevereiro,1.0,Amapá
2004,Março,,Amapá
2004,Abril,1.0,Amapá
2004,Maio,1.0,Amapá
2004,Junho,7.0,Amapá
2004,Julho,4.0,Amapá
2004,Agosto,18.0,Amapá
2004,Setembro,117.0,Amapá
2004,Outubro,534.0,Amapá
